row,n,severity,verdict,title,step_ids,repro,expected,actual,evidence,root_cause,suggested_fix,walk_severity
L,16,P3,confirmed,"The map Worldview picker lists countries by name only, ordered by the alpha-2 key",L7 L11,"Open any ooMap (World map, Governments > Map) and read the Worldview <select>.","Q308: pickers ordered by localised name, with the code as a secondary column.","'Argentina, Bangladesh, Brazil, China, Germany, Egypt, Spain, France, United Kingdom, Greece …' (the AR, BD, BR, CN, DE, EG, ES, FR, GB, GR order), with no codes.","map_controls_text in res-L7.json; src/static/app-map.js:349-355, 788.","src/static/app-map.js:785-787 maps disputed.views in file order through _ooWorldviewLabel (app-map.js:349-355), which returns ooRegionName only.","Keep contested/iso/tlc first, then sort the country views with ooCountryCompare on `_OO_POV_REGION[v] || v`, labelled 'Name (CODE)' via ooCountryCode(_OO_POV_REGION[v] || v). Map 'ko' → 'kr' BEFORE deriving the code, or it prints 'ko'.",P3
L,17,P3,confirmed,Untranslated English on row-L surfaces in fr/ar,L5 L13,"Switch to ar or fr, then open Library > World coverage and Settings > Advanced > Sources.",The surface chrome is translated in all 12 languages.,"Coverage: 'Top country: … sources, …% of located within the 12% guard …', 'Not covered (43)', 'Antarctica'. Sources: 'NAME', 'PRI', 'source(s) · showing 1–50', 'enabled source(s) in languages we can't analyse yet'. Home: 'Law changed (fr)'.","L6-DEU-tip-ar.png, L13-src-country-filter-ar.png, L13-home-law-card-fr.png.","src/static/app-sources.js:190-195 and 222-228 compose English literals without t(). srcTh (app-sources.js:382-385) puts the sort arrow in the same text node, so the walker's existing 'Name' key never matches. 'Pri' and 'Antarctica' have no locale key. The #src-meta line (app-sources.js:393) is composed without t() or tf().","Wrap these frames in t() or tf() with keys in all 12 locales, and add keys for 'Pri' and 'Antarctica'. Render the sort arrow in its own <span> so the header label stays a translatable text node.",P3
M,1,P2,confirmed,"After a fold, keyword surfaces show the old inflected term, and clicking or hovering it resolves to the emptied pre-fold keyword (0 mentions)",M3 M5 M8,"Seed with OO_EXTRACT_LEMMA=0, boot normally, run Settings → Advanced → Diagnostics → 'Fold keyword forms'. Then Insights → Explore → Corpus landscape → click the chip 'nouvelle in French' (or explore 'избирателей', or hover the Analysis chip 'районах').",The keyword opens with its mentions (the landscape says 109; /api/insights/trend?term=nouveau returns total 109).,"'Resolved to nouvelle term · 0 mentions in 0 articles'. /api/insights/trend?term=registros returns 0 while the Top list shows 'registros' with 83. The keyword-stats bubble reads 'районах — 0 mentions · 0 articles' beside a chip showing 55. The fold keeps the old surface form as the display term but moves the mentions to the lemma key, and the resolver matches the emptied row, which the fold leaves in place ('removed by the regular keyword cleanup').",/tmp/claude-0/walk/M/M-M3-landscape-click-en.png; walk_b.json M3_after_click_trend; walk_g.json c_resolved_line_text; walk_c.json M5a_untranslated_hover; src/static/app-insights.js:139 (pickTerm(f.term)); src/analytics/keyword_fold.py method string,"src/analytics/queries.py:220-225 resolve_keyword returns the first exact normalized_term match before it tries _resolve_by_lemma, even when that row has zero mentions. The fold (src/analytics/keyword_fold.py:273-277) creates or keeps the target with term=src.term, the inflected surface, and deliberately leaves the emptied source row for prune_orphan_keywords (OPEN_QUEUE 'LEFT OUT: deleting the keywords a fold empties'). Every click and hover passes the display term (app-insights.js:142 pickTerm(f.term); app-corpus.js:1156 data-kwstat=term.term; termListHtml 1231), so it lands on the orphan.","In resolve_keyword, when the exact normalized hit has mention_count == 0, fall through to _resolve_by_lemma and return that row when it finds one, keeping the orphan only as a last resort. The alternative is to have the fold call prune_orphan_keywords on the rows it emptied as its final step. Either one keeps the fold equal to a re-index.",P2
M,2,P2,confirmed,"In the Analysis window the tier tag's hover is replaced by the keyword-stats bubble, so Q418's hover (original, language, QID) is unreachable by mouse or keyboard",M5 M6,"UI in fr. Explore 'software' → ⊞ Corpus → Mots-clés. Hover the 'traduit de : espagnol' tag after 'logiciel', or the 'Plusieurs sens' tag on 'election'. Or Tab to a chip.",'Traduction vérifiée (concept translangue). — Original: software — Langue: espagnol — Wikidata: Q7397' (the Corpus landscape shows exactly this).,"At every sample from 20 to 900 ms the bubble holds 'software — 90 mentions · 72 articles · tendance … · Counts only, never a score…'. The tag's title is still in the DOM but is never shown. The tag spans are not focusable.","walk_d.json M5a_an_verified_tag_hover_timeline + M5a_an_verified_tag_title_attr_now; M-M5a-hover-verified-fr.png vs M-M5a-hover-landscape-verified-fr.png; src/static/app-boot.js ooKwStatInit applyTo() (~lines 366-395) writes tip.textContent whenever hovered === the [data-kwstat] chip, overriding the #oo-tip opened for the inner .kw-tag","src/static/app-boot.js:411-416. onHover takes e.target.closest('[data-kwstat]'), which is the enclosing button.chip, even when the pointer is on a nested .oo-tip-target (the .kw-tag). applyTo (app-boot.js:391-392) then overwrites #oo-tip's textContent whenever hovered === that chip, replacing the bubble the ooTipInit handler (app-boot.js:293-297) had just opened for the inner tag.","In ooKwStatInit's onHover, ignore the event when the nearest .oo-tip-target is a descendant of the [data-kwstat] element rather than the element itself. For example: const inner = e.target.closest('.oo-tip-target'); if (inner && inner !== el) { hovered = null; return; }. For keyboard reach, append the tier hover text to the chip through data-oo-tip-extra, which applyTo already preserves.",P2
M,3,P2,confirmed,"Tier tag is unreadable on Analysis-window keyword chips (contrast 1.14:1, light theme)",M3 M4 M5 M6,Light theme. Explore 'election' → ⊞ Corpus → Keywords. Look at the 'in English' / 'in Russian' tag inside a blue chip.,"The tag, which is the informed-consent disclosure of the tier, is readable (WCAG AA 4.5:1). In the Corpus landscape it measures 5.4:1.","The tag colour rgb(92,101,115) sits on the chip background rgb(47,111,179): 1.14:1. The tags and the Q-number are nearly invisible in every locale.",walk_h.json an_untranslated_tag vs landscape_untranslated_tag; /tmp/claude-0/walk/M/M-M6-senses-fr.png; /tmp/claude-0/walk/M/M-M4-an-reload-ar.png; src/static/app.css .kw-tag (~1856-1874) has no override inside .chip,"src/static/app.css:1856 (.kw-tag color: var(--accent)), 1869 (.kw-untranslated color: var(--muted)) and 1882 (.kw-qid color: var(--muted)) have no override for a filled chip. app.css:441 gives every button background: var(--accent), and the Analysis chips are <button class=""chip""> (app-corpus.js:1156).","Add a rule for tags inside filled chips, e.g. '.chip .kw-tag, .chip .kw-qid { color: inherit; border-bottom-color: currentColor; }'. Or draw the tag with the chip's accent-fg and a translucent underline. Then re-run the 17-theme contrast check on the chip pairing.",P2
M,4,P2,confirmed,"The 'several senses' picker does nothing, its buttons render outside the chip, and both meanings read the same",M6,UI in fr. Explore 'election' → ⊞ Corpus → Mots-clés. Look at the 'election Plusieurs sens' chip and click a meaning button.,"Q412 = a: clicking a meaning pins it, and the meaning buttons sit with their keyword and are distinguishable.","The two buttons both read 'élection'; only the English hovers 'Concept: election' / 'Concept: public election' tell them apart. They are hoisted out of the chip (a button nested in a button), rendering as separate chips with the count '20' dangling after them. A click changes nothing: no reader of data-kwpin exists.",/tmp/claude-0/walk/M/M-M6-senses-fr.png; walk_d.json M6_senses_buttons / M6_click_effect; src/static/app-corpus.js kwSensePickerHtml (~945-956) + anRenderKwChips (~1155-1158),"src/static/app-corpus.js:945-956. kwSensePickerHtml emits <button class=""kw-sense"">, which kwLabelHtml (932-934) inlines inside anRenderKwChips' <button class=""chip""> (app-corpus.js:1156-1158). The HTML parser closes the outer button at the nested one, hoisting the senses out of the chip and leaving the count dangling. Each label is x.translation, identical for both rings. No listener for [data-kwpin] exists.","Render the picker after the chip's closing tag, not inside it, and add one delegated click handler on [data-kwpin] that reopens the analysis with the pin ('term:ring_id', the grammar parse_sense_pins reads) and marks the choice aria-pressed. When two senses share a translation, add the concept name (translated) to the label.",P2
M,5,P2,confirmed,"The task manager draws no Pause, Resume or Cancel for the keyword-fold job, although the API offers them and the fold button promises 'pausable from the task manager'",M11 M10,"Start a fold, open the top-bar 'Tasks & system' (/tasks). Or shut down mid-fold, restart and unlock, then open /tasks.","Pause while running; Resume and Cancel while paused, as /api/jobs lists them (actions ['resume','cancel']).",The rows 'running · Folding keyword forms into their base form · 551 / 2254 · 24.4%' and 'paused · … 1067 / 2254 · 47.3%' have zero buttons. A paused fold can be continued only from the Diagnostics button.,"/tmp/claude-0/walk/M/M-M11-taskmanager-fold-en.png, M-M11-taskmanager-paused-en.png; walk_i.json tm_rows; walk_j.json jobs_api_after_restart + tm_after_restart; src/static/taskmanager.html:297-309 (buttons only for collect:current and download kinds)","src/static/taskmanager.html:297-309 (jobRow) and src/static/app-core.js:1871-1890 (_jobRow) draw controls only for collect:current, download kinds and (app-core only) 'reindex'. Neither reads j.actions, so kind 'keyword-fold' (and likewise 'search-reindex') gets no buttons.","Render controls from j.actions in both renderers: 'pause'/'cancel' → the existing cancel call (POST /api/jobs/{id}/cancel pauses the fold), 'resume' → the existing resume call. At minimum, add 'keyword-fold' beside 'reindex' in both files.",P2
M,6,P2,confirmed,The Bulletin section is nested inside the destructive 'Uninstall & wipe' fold,M8,Settings → Advanced. Look for 'Bulletin' among the top-level folds.,A top-level 'Bulletin' fold at the bottom of Advanced (per the markup comment).,"The Bulletin fold is invisible until 'Uninstall & wipe — irreversible: destroy the key and remove this install' is expanded (DOM: closest parent details = data-adv=uninstall). The bulletin details sit inside #uninstall-panel's header div, just above 'Wipe everything now'.","walk_g.json h_bulletin_nesting {parent_details:'uninstall'}; /tmp/claude-0/walk/M/M-M8h-bulletin-inside-uninstall-fr.png; src/static/index.html:3105-3112 (<details data-adv=bulletin> opened inside <div class=""phead""> of #uninstall-panel)","src/static/index.html:3108. The Bulletin block (3108-3139) was spliced into the middle of the line '<div class=""phead""><h2>Uninstall &amp; wipe</h2>', inside #uninstall-panel. The stray '</div>' at 3141 then closes the phead.","Close the phead right after its <h2> (restore '</div>') and move the whole '<details class=""adv-sec"" data-adv=""bulletin"">…</details>' block to the Advanced top level, e.g. just before the uninstall <details>, so Uninstall stays last as its comment requires.",P2
M,7,P2,confirmed,Most keyword surfaces still draw bare foreign words with no tier tag (the gate's closing criterion),M8,"UI in fr. Walk Home 'Tendances actuelles', Trends 'Rising — three windows' and 'Top', Explore 'Resolved to', the Analysis Mindmap, Super-groups, Observatory, the reader's Mots-clés tab and the Bulletin.","Each foreign keyword carries 'traduit de : …', 'en …' or 'Plusieurs sens'.","Tag absent on all of them (zh 投票率 / 合作社, ru избирателей / районах bare). Super-groups still show '⊕ voting → vote'.","walk_g.json M8 block; /tmp/claude-0/walk/M/M-M8b-trends-fr.png, M-M8d-an-mindmap-fr.png, M-M8e-supergroups-fr.png, M-M8g-reader-keywords-fr.png","Bare esc(x.term) renderers: src/static/app-home.js:1299-1301 (_renderOverviewTrends); src/static/app-corpus.js:1379 (trending-windows rows carrying a series, i.e. all of them, since series_top == limit; only the series-less remainder reaches termListHtml); termBarsHtml's label; the analysis mindmap and super-group renderers; src/static/reader.js renderKeywords (which also fetches corpus-keywords without target_lang); src/briefing/producers.py:2762 ('spread across' card title as an f-string without title_i18n/term_translation, unlike the rising card at :298).","Route each of those labels through kwLabelHtml, with the endpoint called with tgtLangParam() so the row carries translation_tier/translation_source_lang. Give the other keyword card producers the Q411 title_vars treatment the rising card has. Register every new renderer in ooKwRepaintOnLangChange.",P2
M,8,P3,confirmed,"A language switch without a reload leaves the Corpus landscape in the old language, and leaves the old translated word in the Analysis window (invariant #15)",M4 M6,"With the Corpus landscape and an Analysis 'software' Keywords tab loaded, switch the top-bar language en→fr→ar→zh without reloading.","One click switches the entire UI, so the view matches the reloaded one.",The landscape keeps the previous locale's tags ('in Spanish' on the fr page; Arabic tags on the zh page). The Analysis window repaints the tag but keeps 'logiciel' under the Arabic tag and 'برمجيات' under the Chinese tag. The sense buttons stay 'élection' on the zh page.,"walk_b.json M4_fr_noreload_landscape; walk_e.json M4_ar_noreload_*, M4_zh_noreload_*; /tmp/claude-0/walk/M/M-M4-an-noreload-zh.png; src/static/app-insights.js:119-120 (loadLandscape returns early once loaded); src/static/app-corpus.js:1135-1136 (chips re-rendered from the payload fetched with the old target_lang)","src/static/app-corpus.js:962-990. ooKwRepaintOnLangChange calls window.loadLandscape() with no argument, and loadLandscape returns early once _landscapeLoaded is true (src/static/app-insights.js:118-119). For the analysis window it calls anRenderKwChips, which re-renders _anKwData fetched with the previous target_lang (app-corpus.js:1135-1136), so translation text stays in the old locale while kwLangName repaints the tag.","Call loadLandscape(true) from the repaint list (add a per-entry force flag). For the analysis window, re-fetch the corpus-keywords payload with the new tgtLangParam() rather than re-rendering the cached one, since translations depend on target_lang.",P3
M,9,P3,confirmed,Clicking a keyword's Q-number also fires the enclosing chip's action behind the link-preview dialog,M5,UI in fr. Insights → Explore: explore 'semana'. Then click 'Q7590' inside the Corpus landscape's 'transport' chip.,Only the local link-preview opens.,"The preview opens AND Explore behind it switches to 'Resolved to transport term · 209 mentions…', because the chip's pickTerm ran.",walk_d.json M5b_trend_before vs M5b_trend_after_qid_click; /tmp/claude-0/walk/M/M-M5b-landscape-qid-behind-fr.png; src/static/app-corpus.js:904-905 (kwQidHtml onclick returns false without stopPropagation) inside the button chip at src/static/app-insights.js:139,"src/static/app-corpus.js:904-905. kwQidHtml's inline onclick ('openLinkPreview(...);return false') prevents the default but not propagation. The <a class=""kw-qid""> is nested in <button class=""ls-chip"" onclick=""pickTerm(...)""> (app-insights.js:139-142) and <button class=""chip"" onclick=""openCorpus(...)""> (app-corpus.js:1156), so the click bubbles to the chip.","Make the handler 'event.stopPropagation();openLinkPreview(...);return false'. Better, render the QID outside the button so no interactive content nests in a button.",P3
M,10,P3,confirmed,"Fold is not a fixed point, so a second run folds again, and one largest_fold merges two different words",M2 M11,Run 'Fold keyword forms' twice on the seeded corpus.,The second run ends 'Keywords folded: 0 · mentions moved: 0'. Every largest_folds entry is an inflection of one word.,"The second run ends 'Keywords folded: 1 · mentions moved: 27' (pt cooperativa→cooperativo; simplemma cooperativas→cooperativa→cooperativo). largest_folds contains {from:'fila', to:'filar', lang:'pt'} (noun 'queue' → verb 'to spin').","/tmp/claude-0/walk/M/fold_report_first.json, fold_report_second.json, keyword_fold_report-2026-09-26.json; simplemma.lemmatize checks: cooperativa→cooperativo, fila→filar","src/analytics/extract.py:461-494. lemma_key adopts a lemma that is not itself a fixed point of extraction_lemma (src/analytics/lemma.py lemmatize), and keyword_fold.py's classify step (rules.movable(norm), ~keyword_fold.py:656) re-applies it to keys that are already lemmas.","In lemma_key, adopt lem only when extraction_lemma(lem, language) == lem, otherwise keep word, so one pass is always a fixed point for both callers. Extend test_lemmatisation_is_idempotent to every LEMMA_LANGS language. Add 'fila' to the evidence-grown MISLEMMA_DENYLIST.",P3
M,11,P3,confirmed,"Language reconcile tags English words as Spanish in the English UI ('software in Spanish', 'errors in Spanish')",M3 M4 M5,"After the fold, UI in en: Insights → Explore → Corpus landscape, and Analysis 'software' Keywords.",English keywords carry no tag in the English UI. The seeded English 'software' reads 'traduit de : anglais' in fr.,"'software' and 'errors' show 'in Spanish' in en. fr shows 'logiciel traduit de : espagnol' (ar 'مترجم من لغة: الإسبانية', zh '译自：西班牙语'). The fold merges en 'errors' and es 'errores' into one language-agnostic key 'error', and the majority vote (Q414) then relabels the shared row es.",walk_b.json M3_landscape_en / M3_an_kw_en; /api/insights/top?group=false&target_lang=fr → software language 'es'; fold report language.relanguaged 10,"src/analytics/extract.py:461-494 (lemma_key) keys a term by its lemma alone, and src/analytics/store.py:197-204 (_get_or_create_keyword) and keyword_fold.py:268-277 match targets on normalized_term only. Two languages' different words that share a lemma therefore merge into one row. The fold names the target with the first source's surface (term=src.term, keyword_fold.py:276), while reconcile_keyword_language sets the majority language.","Do not adopt a lemma (at extraction and in the fold) when it would merge surfaces from different languages into one key. The smallest check is in the fold: skip a target whose existing mentions are in another language. Otherwise record it for a ruling, since S5 forbids it. At the label, when a keyword's mention languages are split, name the split ('in Spanish and English', with counts in the hover) rather than a single language.",P3
M,12,P3,confirmed,A tag's hover lacks the ring's other members with per-language counts (Q401/Q418),M5,UI in fr. Corpus landscape → hover the 'traduit de : espagnol' tag after 'logiciel'.,"The original, the ring's other members with per-language counts, and the source.","'Traduction vérifiée (concept translangue). — Original: software — Langue: espagnol — Wikidata: Q7397', with no ring members. The 'Across languages:' breakdown appears only on rows carrying language_breakdown, which tagged rows do not.",walk_d.json M5a_landscape_verified_tag_hover; src/static/app-corpus.js kwHoverText / kwLangBreakdownText (~858-892),"src/analytics/queries.py:682-731. _annotate_translations adds only tier/source language/QID/senses to a solo verified row. src/static/app-corpus.js:880-893 kwHoverText adds kwLangBreakdownText only when row.language_breakdown exists, which it never does for these rows.","When the ladder resolves a solo row to a verified ring, attach that ring's members present in the corpus with their per-language mention counts (the same shape queries.trending already emits as language_breakdown), so kwHoverText's existing branch renders them.",P3
M,13,P3,confirmed,The 'local AI offline' toast tells the user to switch off airplane mode for a loopback Ollama,M5,"UI in fr, no Ollama running, airplane mode on. Analysis Mots-clés → '✦ Traduire le reste (IA, provisoire)'.","Advice to start the local Ollama. Loopback Ollama is allowed under the kill switch, so going online is not needed.",'L'IA locale est hors ligne — démarrez Ollama (et désactivez le mode avion) pour des traductions provisoires.',/tmp/claude-0/walk/M/M-M5c-ai-fr.png; walk_c.json M5c_toasts; src/static/app-corpus.js anFillTentative (~1213-1216),"src/static/app-corpus.js:1215, the toast string (and its 12 locale entries). The stale docstring in src/api/ai.py:283-284 ('including airplane mode') repeats the same wrong premise.","Change the string to say only 'Local AI is offline — start Ollama for tentative translations.' ×12. Mention airplane mode only when OO_OLLAMA_URL is non-loopback, which the client already names in its own error. Correct the endpoint docstring.",P3
M,14,P3,confirmed,Untranslated English on keyword surfaces in fr/ar/zh,M4 M5 M7 M8,"UI in fr (also ar, zh). Explore a word; open Analysis Keywords; view Home, Super-groups, the Bulletin and the task manager.",Chrome translated ×12.,"'Resolved to … term · N mentions in N articles'; 'Counts only, never a score — scoped to the top N matched article(s) by relevance.'; '… set algebra over N keywords …'; the keyword-stats caveat; every Home Lead title ('Single-source:', 'Resurfaced after N days', '“registros” spread across 3 sources'); Super-groups 'N members · N mentions Dominated by …'; bulletin 'COVERS THROUGH' / 'Review' / 'weekly' / 'Draft built.'; the task-manager job label. Also the fr grammar slip 'sur les période précédente'.",walk_c.json an_hint_fr; walk_e.json M4_zh_an_hint; walk_g.json M7_card_titles_fr/ar and the M8 samples; /tmp/claude-0/walk/M/M-M7-home-fr.png,"src/static/app-corpus.js:699 ('Resolved to' literal, not t()) and :1089 (Combine hint literal); caveats sent by the server and rendered with esc(d.caveat) without a locale key; src/static/taskmanager.html:312 and app-core.js:1893 print esc(j.label) from src/api/jobs.py:497-499 without t(); src/briefing/producers.py card titles lack title_i18n; the fr.json template '{n} mentions, contre {prior} sur les {window}' hard-codes the plural article before a {window} that can be singular ('période précédente').","Wrap the literals in t()/tf() with keys ×12. Key the job labels and card titles as templates (title_i18n + title_vars, as the rising card does). Reword the fr template to avoid the article (e.g. 'contre {prior} ({window})').",P3
N,1,P1,confirmed,"A new analysis browser tab can paint another workspace tab's results under its own label (list, total, grey block, chips)",N5 N11 N13,"Open 'Analysis: “climate”' from the palette (a new browser tab) and keep it open. From the first tab, open 'Analysis: “election”'. In the new tab the strip shows election active and the header “election”, but Articles shows climate's block, chips and '160 Articles'. It is intermittent: it happened in the final en run, in 1 of 4 probe attempts, in the ar and ja climate tabs, and in the N13 预算 tab; in zh only the chips were stale.","The Articles panel describes the active tab's query: for election, the declined-sense block, 20 articles, eng 20.",The run for the workspace tab that was active before finishes last and overwrites the shared panels. Clicking the tab in the strip again repaints it correctly.,"shots/N-race-en-N5.png, N-race-ar-concept.png, N-race-ja-concept.png, N-race-probe-en.png; the 'races' entries in R-en-all.json and R-loc-fr-ar-zh-ja.json. Cause: src/static/app-boot.js:459 showTab('analyze') hydrates the restored active tab (src/static/app-shell.js:146-150, then _anApplySeed, then loadAnalysis). app-boot.js:475 openAnalysisFor then starts a second loadAnalysis. loadAnalysis (src/static/app-analysis.js:1961) has no stale-run guard, and _anLoadArtFacets (:1289) writes a single global.","src/static/app-boot.js:448 _anRestoreTabs() restores the saved strip. Then app-boot.js:459 showTab('analyze', false) runs, and because _anHydrated is false, src/static/app-shell.js:146-150 applies the RESTORED active tab: _anApplySeed calls loadAnalysis at src/static/app-analysis.js:178. Next, app-boot.js:474 openAnalysisFor(analyze) → _anSpawn → _anActivate → _anApplySeed starts a SECOND loadAnalysis. loadAnalysis (app-analysis.js:1961) has no run token. The un-awaited _anLoadArticles (:1831, called at :2043) and _anLoadArtFacets (:1289, called at :2044) of whichever run finishes last write the shared #an-art-list, #an-xlang and #an-art-facets, as well as the _anArtParams, _anArtFacetData and _anLastParams globals.","(1) In _hydrateCardCorpus (app-boot.js ~455-460), when ?analyze= or ?corpus= is present, set _anHydrated = true before showTab('analyze', false). The restored active tab is then not loaded, and only the deep-linked tab renders through _anSpawn → _anActivate. (2) Add a generation guard for in-window switching: `const run = ++_anRunSeq` at the top of loadAnalysis; pass it to _anLoadArticles and _anLoadArtFacets; after every await, return without writing when `run !== _anRunSeq`.",P1
N,2,P2,confirmed,A sense pin leaks across analysis tabs: new tabs open pre-pinned and carry another tab's sense in their URL,N11 N5,"In fr, pick “public election” on an election analysis. Then, in new browser tabs, open 'Analysis: “climate”' and later 'Analysis: “election”' from the palette.","A new analysis starts with the default settings: election shows the sense picker with 20 articles, and the climate URL has no sense=.","The climate URL became ?analyze=climate&sense=election%3Apublic-election and kept it after the toggle and after re-clicking the tab. Election in ar, zh and ja opened already pinned to “public election” with 216 articles, skipping the picker.","R-loc-fr-ar-zh-ja.json (ar/zh/ja: el_url0, el_sense_already_pinned=true, el_total0=216, literal_url); shots/N-race-ar-concept.png. Likely the same concurrent-hydration path as the P1 race (app-shell.js:146-150 and app-analysis.js:161-168).","src/static/app-boot.js:459 showTab('analyze', false) applies the restored active tab. Its _anApplySeed calls _anWriteLensToUrl (src/static/app-analysis.js:168 → :1496), which writes THAT tab's sense, expand and cap into location.search. Only afterwards does app-boot.js:469 `const lens = _anReadLensFromUrl()` read the URL, so the deep-linked tab is seeded with the restored tab's lens (app-boot.js:474). _anSaveTabs then saves it into oo.an.tabs.v1, where it spreads to the next new tab.","Move `const lens = _anReadLensFromUrl();` (and the prov read) above `showTab('analyze', false)` in _hydrateCardCorpus, and skip loading the restored tab when a deep link is present (same change as fix (1) of the race). Optionally, have _anWriteLensToUrl also rewrite analyze= to the active tab's query so the URL always describes one tab.",P2
N,3,P2,confirmed,"ooChart legend: hiding a series removes its chip, so it cannot be clicked back",N6,"Analysis climate, then Trend, then By language. Click the 'eng' legend chip, then try to click it again.","The chip stays (dimmed, aria-pressed=false), and a second click restores the band.","The band and its chip both disappear, leaving 5 chips. Only switching view to Counts and back restores it. This affects every ooChart chart.","shots/N-N6-legend-hidden-en.png; R-en-all.json N6.legend_after_hide. src/static/app-markets.js:1968-1970: visible() filters out hidden series, and :2253 builds the legend from that list.","src/static/app-markets.js:1967-1969 visible() filters out hidden series (`all.filter(s => !s.hidden)`), and the legend at app-markets.js:2253 is built from `vs = visible()`. A hidden series therefore loses its chip and its click handler.","Build the legend from `all`, computing vis per series, e.g. `legend.innerHTML = all.map((s0) => { const s = {...s0, vis: s0.pts.filter(p => p.t >= t0 && p.t <= t1)}; ... })`. The existing hidden branch (aria-pressed=false, opacity .4) then renders the dimmed chip, and a second click restores the band.",P2
N,4,P2,confirmed,Articles default order is relevance while 'Interleave by date' is shown pressed (Q508 rules 'interleaved by date'),N2,"Analysis climate, then Articles, with 'Sort by: Relevance / recency'.","The default list is interleaved by date, or the pressed control does not claim it is.","The dates are not in order (09-23, 09-22, 09-20, 09-24, …) while 'Interleave by date' has aria-pressed=true. Already known (sheet note 3).",R-en-all.json N2.default_first12; shots/N-N2-articles-default-en.png; src/api/main.py:1458; src/database/fts.py:937.,"src/static/app-analysis.js:1846-1848 (_anLoadArticles) deletes sort_by when #an-adv-sort is '' (src/static/index.html:468 is the default option). src/api/main.py:1455-1458 then keeps FTS relevance order, which is bm25 (src/database/fts.py:937). app-analysis.js:1800 still labels that state 'Interleave by date', pressed.","Make date descending the analysis Articles default: in _anLoadArticles, when no sort is chosen and the list is not grouped, set sort_by=date and sort_dir=desc, or make 'Date' the default option of #an-adv-sort. Keep 'Relevance / recency' as an explicit choice. Alternatively, stop claiming 'by date' while the order is relevance.",P2
N,5,P3,confirmed,Watches list keeps English composite strings after a language switch until reload,N11 N8,"Add a watch in en, switch to ar, fr, zh or ja, and open Insights → Watches again without reloading.",The frame sentences are translated; their keys exist in all four locale files.,'≥ 2 articles within 30 day(s) · last fired: never' and 'the concept “climate”' stay in English. After a reload they are translated.,R-ar-ins2.json vs R-ar-ins3.json; src/static/app-insights.js:1269-1330.,"src/static/app-insights.js:1313 and :1277 build the row with tf() when it renders. loadWatches runs only once per page load (showInsightCat, app-insights.js:97-105, guarded by _insLoaded), and it is not called from the oo:langchange listener at src/static/app-boot.js:41.","Add `try { if (_insLoaded.has('watches')) loadWatches(); } catch (_e) {}` to the existing oo:langchange listener in app-boot.js. Better still, re-render from a cached payload so the switch sends no request.",P3
N,6,P3,confirmed,The user's watch name is machine-translated on screen,N11,"Add a watch named 'Climate', then switch the UI to ar, fr, zh or ja.",The name appears as the user typed it.,"It appears as 'مناخ', 'Climat', '气候' or '気候'.",R-ar-ins2.json; src/static/app-insights.js:1305 (the name in <b> is not marked no-translate); src/static/locales/ar.json:2125.,"The src/static/i18n.js:35-58 DOM walker translates any text node exactly equal to a locale key ('Climate' → src/static/locales/ar.json:2125), and src/static/app-insights.js:1305 renders the user's name in a plain <b>.",Render the name as `<b data-i18n-dyn>${esc(w.name)}</b>` at app-insights.js:1305. Apply the same to w.query and to the history 'Watch: {name}' label.,P3
N,7,P3,confirmed,Insights term-bar hover caveat is English in every locale,N11 N8,"In ar, go to Insights → Trends and hover 'climate'.",The whole bubble is in Arabic.,"The sentence 'Counts only, never a score. The trend ratio is noisy on a young corpus; … not a claim about the world.' is in English inside the Arabic bubble. No locale key exists for it.",R-ar-ins3.json; shots/N-N11-insights-hover-ar.png; src/analytics/queries.py:3052.,"src/static/app-boot.js:363 appends the server caveat verbatim (`d.caveat ? ' · ' + d.caveat`) without t(), and the server prose at src/analytics/queries.py:3051-3055 has no key in any locale file.","Use `t(d.caveat)` at app-boot.js:363 and add the caveat sentence as a key in all 12 locales, as was done for the cross-language rail caveat.",P3
N,8,P3,confirmed,Mindmap ⛶ 'Enlarge' makes the labels smaller on a wide window,N7,"Analysis climate, then Mindmap, then Concept, then ⛶, at 1440x950.",A larger picture.,"The SVG keeps the same width, and the centre label shrinks from 33 px to 24 px.",R-en-all.json N7; shots/N-N7-concept-enlarged-en.png; src/static/app-analysis.js:1033-1034 (the viewBox grows from 680x460 to 1100x720 while width stays 100%).,"src/static/app-analysis.js:1033-1034 grows the viewBox (680x460 → 1100x720) when _anMM.big, but the SVG stays width='100%' (app-analysis.js:1056 and :1094), so the whole drawing is scaled down by 680/1100.","When big, keep the drawing's scale: emit width='${W}' (pixel width) inside an overflow:auto host, or keep the 680x460 viewBox and raise the container's rendered height and width instead of the coordinate space.",P3
